,VDD,Temperature,Rotation Speed,Gradient,Wind Speed
250,3.363,22.55,133,10,2.13
251,3.41,22.36,135,15,0.0
252,3.363,22.36,137,15,0.0
253,3.363,22.73,139,0,3.55
254,3.41,22.36,137,10,2.19
255,3.363,24.55,138,15,0.0
256,3.41,22.18,137,10,2.19
257,3.41,22.55,138,5,2.96
258,3.41,22.36,137,10,2.19
259,3.363,22.55,138,15,0.0
260,3.41,24.18,138,5,2.96
261,3.363,22.36,138,10,2.2
262,3.41,24.36,113,15,0.0
263,3.363,22.36,118,15,0.0
264,3.41,22.55,125,15,0.0
265,3.363,20.73,126,15,0.0
266,3.41,24.55,130,0,3.47
267,3.363,22.55,115,20,0.0
268,3.32,22.55,113,15,0.0
269,3.363,22.55,118,25,0.0
270,3.363,22.73,120,15,0.0
271,3.363,22.36,108,-15,4.62
272,3.32,22.55,103,30,0.0
273,3.273,22.36,114,15,0.0
274,3.32,22.55,117,15,0.0
275,3.41,20.55,119,10,1.91
276,3.363,22.55,126,15,0.0
277,3.363,22.36,124,15,0.0
278,3.363,22.55,101,25,0.0
279,3.32,22.36,106,25,0.0
280,3.32,22.55,118,25,0.0
281,3.363,20.91,120,25,0.0
282,3.363,22.55,124,15,0.0
283,3.363,22.55,127,10,2.04
284,3.363,22.55,106,-25,5.31
285,3.273,22.55,106,20,0.0
286,3.23,22.55,115,20,0.0
287,3.273,22.55,117,10,1.88
288,3.32,22.0,118,15,0.0
289,3.32,23.09,119,25,0.0
290,3.363,22.36,123,20,0.0
291,3.363,20.91,129,20,0.0
292,3.363,22.55,131,20,0.0
293,3.363,22.36,132,15,0.0
294,3.363,22.36,132,15,0.0
295,3.363,22.18,133,0,3.5
296,3.363,22.55,133,0,3.5
297,3.363,22.55,133,0,3.5
298,3.32,22.36,134,20,0.0
299,3.363,22.73,134,15,0.0
300,3.363,22.55,135,10,2.16
301,3.363,22.55,133,15,0.0
302,3.363,22.55,134,10,2.14
303,3.363,22.73,131,10,2.1
304,3.363,22.55,130,15,0.0
305,3.32,22.55,133,0,3.5
306,3.363,22.36,132,10,2.11
307,3.363,22.36,132,15,0.0
308,3.363,22.36,133,10,2.13
309,3.363,20.73,132,15,0.0
310,3.363,22.36,134,15,0.0
311,3.363,22.36,135,10,2.16
312,3.363,22.55,136,15,0.0
313,3.363,22.55,135,15,0.0
314,3.363,22.36,135,10,2.16
315,3.41,22.36,134,20,0.0
316,3.363,22.36,134,15,0.0
317,3.363,22.36,134,15,0.0
318,3.363,22.36,135,10,2.16
319,3.363,22.55,135,5,2.93
320,3.363,22.55,135,15,0.0
321,3.363,22.55,135,15,0.0
322,3.363,22.36,136,5,2.94
323,3.363,22.55,135,10,2.16
324,3.363,22.55,134,0,3.51
325,3.32,22.36,135,0,3.52
326,3.363,22.36,135,0,3.52
327,3.363,21.27,135,0,3.52
328,3.363,22.36,135,0,3.52
329,3.363,22.55,134,0,3.51
330,3.363,22.55,133,0,3.5
331,3.41,22.55,133,0,3.5
332,3.363,22.55,134,15,0.0
333,3.363,22.55,132,10,2.11
334,3.363,22.55,133,15,0.0
335,3.41,22.18,133,10,2.13
336,3.363,22.36,133,0,3.5
337,3.41,22.36,132,10,2.11
338,3.363,22.36,134,5,2.92
339,3.363,22.36,133,10,2.13
340,3.363,22.55,134,15,0.0
341,3.363,22.55,135,0,3.52
342,3.363,22.36,133,10,2.13
343,3.363,22.36,134,20,0.0
344,3.363,22.36,135,0,3.52
345,3.363,22.36,133,15,0.0
346,3.363,20.73,133,10,2.13
347,3.363,22.55,134,10,2.14
348,3.363,22.36,136,0,3.53
349,3.363,22.55,135,10,2.16
350,3.363,21.09,135,5,2.93
351,3.363,22.36,133,15,0.0
352,3.41,22.36,134,15,0.0
353,3.363,22.36,134,10,2.14
354,3.363,22.36,133,10,2.13
355,3.363,22.36,134,10,2.14
356,3.363,22.36,135,0,3.52
357,3.363,22.55,133,15,0.0
358,3.363,24.36,132,10,2.11
359,3.363,22.36,132,10,2.11
360,3.363,22.36,133,10,2.13
361,3.363,20.73,134,10,2.14
362,3.363,22.55,134,10,2.14
363,3.363,22.55,133,10,2.13
364,3.363,22.36,135,0,3.52
365,3.41,22.36,134,5,2.92
366,3.363,22.36,134,15,0.0
367,3.41,22.36,134,10,2.14
368,3.363,22.36,135,0,3.52
369,3.41,22.36,135,15,0.0
370,3.363,22.55,135,0,3.52
371,3.41,22.36,135,15,0.0
372,3.363,22.36,136,10,2.17
373,3.363,22.36,135,10,2.16
374,3.363,22.36,136,15,0.0
375,3.41,22.36,135,15,0.0
376,3.363,22.36,135,10,2.16
377,3.363,22.36,136,15,0.0
378,3.41,22.36,134,10,2.14
379,3.363,22.18,134,15,0.0
380,3.41,22.36,136,10,2.17
381,3.363,22.55,136,15,0.0
382,3.363,24.36,136,10,2.17
383,3.363,22.36,136,10,2.17
384,3.363,22.36,137,0,3.54
385,3.363,22.36,135,15,0.0
386,3.363,22.36,136,15,0.0
387,3.363,22.36,134,10,2.14
388,3.41,22.36,132,15,0.0
389,3.363,22.36,134,0,3.51
390,3.363,22.36,133,0,3.5
391,3.363,22.36,134,20,0.0
392,3.363,22.36,133,10,2.13
393,3.363,22.36,133,0,3.5
394,3.363,22.18,133,0,3.5
395,3.363,22.55,133,15,0.0
396,3.32,22.36,133,15,0.0
397,3.363,22.18,132,5,2.9
398,3.363,22.36,132,0,3.49
399,3.363,22.36,133,15,0.0
400,3.363,22.18,135,0,3.52
401,3.41,22.18,135,0,3.52
402,3.41,20.73,135,0,3.52
403,3.363,22.36,134,10,2.14
404,3.363,22.36,136,15,0.0
405,3.363,22.36,135,10,2.16
406,3.363,22.36,135,5,2.93
407,3.363,22.36,135,15,0.0
408,3.41,22.36,136,10,2.17
409,3.363,22.36,135,5,2.93
410,3.41,22.18,135,0,3.52
411,3.363,22.36,137,10,2.19
412,3.41,22.36,137,0,3.54
413,3.363,22.36,135,10,2.16
414,3.41,22.36,136,15,0.0
415,3.363,22.36,135,0,3.52
416,3.363,22.36,136,10,2.17
417,3.363,22.36,135,0,3.52
418,3.41,22.36,135,15,0.0
419,3.363,22.36,135,15,0.0
420,3.41,22.55,134,10,2.14
421,3.363,22.18,135,10,2.16
422,3.363,22.55,133,25,0.0
423,3.363,22.36,133,15,0.0
424,3.363,22.36,131,15,0.0
425,3.363,22.36,132,10,2.11
426,3.363,22.36,132,10,2.11
427,3.363,22.18,134,0,3.51
428,3.363,22.36,135,0,3.52
429,3.41,22.73,133,15,0.0
430,3.363,20.55,133,0,3.5
431,3.41,22.55,133,15,0.0
432,3.363,22.36,133,10,2.13
433,3.41,22.55,134,10,2.14
434,3.363,22.36,135,0,3.52
435,3.363,22.36,136,5,2.94
436,3.41,22.55,135,10,2.16
437,3.41,22.55,135,15,0.0
438,3.363,22.55,136,15,0.0
439,3.41,22.55,135,0,3.52
440,3.41,22.36,136,0,3.53
441,3.41,22.73,137,0,3.54
442,3.41,22.36,137,0,3.54
443,3.363,22.55,135,10,2.16
444,3.363,24.36,135,15,0.0
445,3.363,22.55,136,0,3.53
446,3.41,22.36,134,10,2.14
447,3.363,22.36,133,15,0.0
448,3.41,22.36,134,15,0.0
449,3.363,22.36,135,0,3.52
450,3.363,22.36,134,15,0.0
451,3.363,24.36,134,10,2.14
452,3.363,22.36,133,10,2.13
453,3.363,22.36,133,15,0.0
454,3.41,22.36,134,15,0.0
455,3.363,22.36,133,15,0.0
456,3.41,22.55,133,25,0.0
457,3.41,22.36,134,15,0.0
458,3.363,22.36,136,15,0.0
459,3.363,22.36,135,10,2.16
460,3.363,22.36,135,0,3.52
461,3.41,22.36,135,0,3.52
462,3.363,22.55,136,10,2.17
463,3.41,22.36,136,10,2.17
464,3.363,22.36,134,15,0.0
465,3.363,24.55,134,15,0.0
466,3.363,22.36,134,10,2.14
467,3.363,22.36,134,15,0.0
468,3.363,22.36,133,10,2.13
469,3.363,22.36,133,15,0.0
470,3.363,22.36,134,15,0.0
471,3.41,22.36,134,10,2.14
472,3.41,22.55,133,10,2.13
473,3.363,22.36,134,15,0.0
474,3.363,22.36,135,15,0.0
475,3.363,22.36,135,0,3.52
476,3.41,24.36,135,0,3.52
477,3.363,22.55,135,15,0.0
478,3.41,22.36,135,10,2.16
479,3.363,22.36,135,5,2.93
480,3.41,22.36,135,15,0.0
481,3.363,22.36,135,5,2.93
482,3.363,22.36,135,0,3.52
483,3.363,22.55,135,0,3.52
484,3.41,22.36,136,10,2.17
485,3.363,22.36,136,20,0.0
486,3.363,22.55,135,0,3.52
487,3.41,22.55,136,10,2.17
488,3.363,22.36,137,0,3.54
489,3.41,22.55,136,10,2.17
490,3.363,20.91,135,10,2.16
491,3.41,22.36,135,0,3.52
492,3.363,22.36,136,20,0.0
493,3.41,24.36,136,10,2.17
494,3.363,22.36,137,15,0.0
495,3.41,22.36,138,0,3.54
496,3.363,22.36,137,0,3.54
497,3.41,22.36,134,10,2.14
498,3.363,24.55,134,25,0.0
499,3.41,22.55,136,25,0.0
500,3.363,22.36,136,10,2.17
501,3.363,22.36,136,0,3.53
502,3.363,22.36,134,10,2.14
503,3.41,22.36,135,15,0.0
504,3.41,22.55,136,15,0.0
505,3.363,22.36,136,15,0.0
506,3.41,24.36,135,0,3.52
507,3.363,22.36,128,0,3.45
508,3.363,22.55,111,-15,4.64
509,3.14,22.36,75,-10,3.95
510,2.96,22.36,62,-15,4.27
